title,main_speaker,film_date,tags
Do schools kill creativity?,Ken Robinson,2006-02-25T00:00:00Z,"['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']"
Averting the climate crisis,Al Gore,2006-02-25T00:00:00Z,"['alternative energy', 'cars', 'climate change', 'culture', 'environment', 'global issues', 'science', 'sustainability', 'technology']"
Simplicity sells,David Pogue,2006-02-24T00:00:00Z,"['computers', 'entertainment', 'interface design', 'media', 'music', 'performance', 'simplicity', 'software', 'technology']"
Greening the ghetto,Majora Carter,2006-02-26T00:00:00Z,"['MacArthur grant', 'activism', 'business', 'cities', 'environment', 'green', 'inequality', 'politics', 'pollution']"
The best stats you've ever seen,Hans Rosling,2006-02-22T00:00:00Z,"['Africa', 'Asia', 'Google', 'demo', 'economics', 'global development', 'global issues', 'health', 'math', 'statistics', 'visualizations']"
Why we do what we do,Tony Robbins,2006-02-02T00:00:00Z,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']"
Letting go of God,Julia Sweeney,2006-02-24T00:00:00Z,"['Christianity', 'God', 'atheism', 'comedy', 'culture', 'humor', 'performance', 'religion', 'storytelling']"
Behind the design of Seattle's library,Joshua Prince-Ramus,2006-02-23T00:00:00Z,"['architecture', 'collaboration', 'culture', 'design', 'library']"
Let's teach religion -- all religion -- in schools,Dan Dennett,2006-02-02T00:00:00Z,"['God', 'TED Brain Trust', 'atheism', 'brain', 'cognitive science', 'consciousness', 'evolution', 'philosophy', 'religion']"
A life of purpose,Rick Warren,2006-02-25T00:00:00Z,"['Christianity', 'God', 'culture', 'happiness', 'leadership', 'motivation', 'philanthropy', 'religion']"
My wish: A call for open-source architecture,Cameron Sinclair,2006-02-26T00:00:00Z,"['activism', 'architecture', 'collaboration', 'culture', 'design', 'disaster relief', 'global issues', 'invention', 'open-source', 'philanthropy']"
My wish: A global day of film,Jehane Noujaim,2006-02-26T00:00:00Z,"['TED Prize', 'art', 'culture', 'entertainment', 'film', 'global issues', 'movies', 'peace', 'social change', 'storytelling']"
My wish: Help me stop pandemics,Larry Brilliant,2006-02-23T00:00:00Z,"['TED Prize', 'collaboration', 'disease', 'ebola', 'global issues', 'health', 'science', 'technology']"
The radical promise of the multi-touch interface,Jeff Han,2006-02-06T00:00:00Z,"['demo', 'design', 'interface design', 'technology']"
One Laptop per Child,Nicholas Negroponte,2006-02-23T00:00:00Z,"['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']"
An 11-year-old's magical violin,Sirena Huang,2006-02-23T00:00:00Z,"['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']"
"Improvising on piano, aged 14",Jennifer Lin,2004-02-26T00:00:00Z,"['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']"
Simple designs to save a life,Amy Smith,2006-02-24T00:00:00Z,"['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']"
"Organic design, inspired by nature",Ross Lovegrove,2005-02-25T00:00:00Z,"['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']"
The birth of Wikipedia,Jimmy Wales,2005-07-14T00:00:00Z,"['business', 'collaboration', 'culture', 'invention', 'media', 'open-source', 'technology', 'wikipedia']"
The birth of the open-source learning revolution,Richard Baraniuk,2006-02-23T00:00:00Z,"['business', 'collaboration', 'culture', 'global issues', 'library', 'open-source', 'technology']"
Nerdcore comedy,Ze Frank,2004-02-24T00:00:00Z,"['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']"
Meet the founder of the blog revolution,Mena Trott,2006-02-23T00:00:00Z,"['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']"
"Why we love, why we cheat",Helen Fisher,2006-02-24T00:00:00Z,"['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']"
Happiness in body and soul,Eve Ensler,2004-02-04T00:00:00Z,"['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']"
Chemical scum that dream of distant quasars,David Deutsch,2005-07-14T00:00:00Z,"['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']"
Why the universe seems so strange,Richard Dawkins,2005-07-07T00:00:00Z,"['astronomy', 'biology', 'cognitive science', 'cosmos', 'evolution', 'physics', 'psychology', 'science']"
The freakonomics of crack dealing,Steven Levitt,2004-02-27T00:00:00Z,"['business', 'cities', 'culture', 'economics', 'narcotics', 'race']"
"Choice, happiness and spaghetti sauce",Malcolm Gladwell,2004-02-26T00:00:00Z,"['business', 'choice', 'consumerism', 'culture', 'economics', 'food', 'marketing', 'media', 'storytelling']"
The surprising science of happiness,Dan Gilbert,2004-02-02T00:00:00Z,"['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']"
The paradox of choice,Barry Schwartz,2005-07-15T00:00:00Z,"['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']"
Meet the future of cancer research,Eva Vertes,2005-02-26T00:00:00Z,"['cancer', 'disease', 'health', 'science', 'technology', 'wunderkind']"
A roadmap to end aging,Aubrey de Grey,2005-07-14T00:00:00Z,"['aging', 'biotech', 'disease', 'engineering', 'future', 'health care', 'science', 'technology']"
How mobile phones can fight poverty,Iqbal Quadir,2005-07-13T00:00:00Z,"['alternative energy', 'business', 'communication', 'culture', 'global development', 'global issues', 'invention', 'investment', 'microfinance', 'poverty', 'technology', 'telecom', 'transportation']"
Invest in Africa's own solutions,Jacqueline Novogratz,2005-07-01T00:00:00Z,"['Africa', 'TED Brain Trust', 'business', 'culture', 'entrepreneur', 'global development', 'investment', 'microfinance', 'philanthropy', 'poverty']"
Why we should invest in a free press,Sasa Vucinic,2005-07-14T00:00:00Z,"['business', 'culture', 'global issues', 'investment', 'media', 'philanthropy']"
How to rebuild a broken state,Ashraf Ghani,2005-07-12T00:00:00Z,"['business', 'corruption', 'culture', 'economics', 'entrepreneur', 'global development', 'global issues', 'investment', 'military', 'policy', 'politics', 'poverty']"
The real future of space exploration,Burt Rutan,2006-02-24T00:00:00Z,"['NASA', 'aircraft', 'business', 'design', 'engineering', 'entrepreneur', 'flight', 'industrial design', 'invention', 'rocket science']"
Why did I ski to the North Pole?,Ben Saunders,2005-02-24T00:00:00Z,"['climate change', 'culture', 'exploration', 'global issues', 'personal growth', 'potential', 'sports', 'technology', 'travel']"
My wish: Three actions for Africa,Bono,2005-02-24T00:00:00Z,"['AIDS', 'Africa', 'activism', 'entertainment', 'global issues', 'philanthropy', 'poverty', 'social change']"
My wish: Manufactured landscapes and green education,Edward Burtynsky,2005-02-17T00:00:00Z,"['TED Prize', 'art', 'cities', 'culture', 'design', 'environment', 'photography', 'pollution', 'social change']"
My wish: Three unusual medical inventions,Robert Fischell,2005-02-24T00:00:00Z,"['TED Prize', 'business', 'disease', 'health care', 'invention', 'medicine', 'science', 'technology']"
How juries are fooled by statistics,Peter Donnelly,2005-07-14T00:00:00Z,"['culture', 'genetics', 'science', 'statistics', 'technology']"
Why people believe weird things,Michael Shermer,2006-02-23T00:00:00Z,"['culture', 'entertainment', 'faith', 'illusion', 'religion', 'science']"
The accelerating power of technology,Ray Kurzweil,2005-02-24T00:00:00Z,"['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']"
How technology evolves,Kevin Kelly,2005-02-24T00:00:00Z,"['choice', 'culture', 'evolution', 'future', 'history', 'philosophy', 'science', 'technology']"
Fight injustice with raw video,Peter Gabriel,2006-02-23T00:00:00Z,"['TED Brain Trust', 'activism', 'art', 'collaboration', 'culture', 'film', 'global issues', 'music', 'social change', 'storytelling']"
8 secrets of success,Richard St. John,2005-02-23T00:00:00Z,"['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']"
If I controlled the Internet,Rives,2006-11-30T00:00:00Z,"['culture', 'entertainment', 'love', 'performance', 'philosophy', 'poetry']"
The killer American diet that's sweeping the planet,Dean Ornish,2006-02-23T00:00:00Z,"['culture', 'disease', 'food', 'global issues', 'health', 'health care', 'obesity', 'science']"
The hidden world of shadow cities,Robert Neuwirth,2005-07-14T00:00:00Z,"['business', 'cities', 'culture', 'entrepreneur', 'future', 'global development', 'global issues', 'policy', 'poverty', 'social change']"
Global priorities bigger than climate change,Bjorn Lomborg,2005-02-02T00:00:00Z,"['AIDS', 'Africa', 'business', 'choice', 'climate change', 'culture', 'disaster relief', 'economics', 'environment', 'future']"
Dreams from endangered cultures,Wade Davis,2003-02-03T00:00:00Z,"['anthropology', 'culture', 'environment', 'film', 'global issues', 'language', 'photography']"
Photos of endangered cultures,Phil Borges,2006-02-23T00:00:00Z,"['activism', 'art', 'culture', 'design', 'film', 'global issues', 'photography', 'social change', 'storytelling']"
Is this our final century?,Martin Rees,2005-07-14T00:00:00Z,"['astronomy', 'climate change', 'complexity', 'cosmos', 'science', 'social change', 'technology', 'time', 'universe']"
Progress is not a zero-sum game,Robert Wright,2006-02-02T00:00:00Z,"['collaboration', 'culture', 'evolutionary psychology', 'global issues', 'war']"
"How the ""ghost map"" helped end a killer disease",Steven Johnson,2006-11-30T00:00:00Z,"['cities', 'culture', 'design', 'disease', 'health', 'history', 'map', 'science', 'urban planning']"
The era of open innovation,Charles Leadbeater,2005-07-14T00:00:00Z,"['business', 'collaboration', 'culture', 'economics', 'innovation', 'invention', 'media', 'open-source', 'product design']"
"A dance of ""Symbiosis""",Pilobolus,2005-02-25T00:00:00Z,"['dance', 'entertainment', 'nature', 'performance', 'science', 'science and art']"
Four American characters,Anna Deavere Smith,2005-02-25T00:00:00Z,"['MacArthur grant', 'United States', 'culture', 'entertainment', 'history', 'interview', 'performance', 'performance art', 'race', 'sports', 'storytelling', 'theater']"
Everyday inventions,Saul Griffith,2006-02-23T00:00:00Z,"['MacArthur grant', 'collaboration', 'design', 'innovation', 'invention', 'materials', 'open-source', 'product design', 'technology']"
Unleash your creativity in a Fab Lab,Neil Gershenfeld,2006-02-02T00:00:00Z,"['code', 'computers', 'culture', 'education', 'engineering', 'invention', 'materials', 'science', 'social change', 'technology']"
In praise of slowness,Carl HonorÌ©,2005-07-07T00:00:00Z,"['choice', 'culture', 'happiness', 'health', 'parenting', 'personal growth', 'potential', 'psychology', 'work-life balance']"
My wish: Rebuilding Rwanda,Bill Clinton,2007-03-08T00:00:00Z,"['Africa', 'TED Prize', 'business', 'culture', 'economics', 'global issues', 'health care', 'technology']"
My wish: Build the Encyclopedia of Life,E.O. Wilson,2007-03-08T00:00:00Z,"['TED Prize', 'ants', 'biodiversity', 'biology', 'ecology', 'global issues', 'insects', 'nature', 'science', 'technology']"
My wish: Let my photographs bear witness,James Nachtwey,2007-03-08T00:00:00Z,"['activism', 'art', 'culture', 'global issues', 'media', 'photography', 'poverty', 'social change', 'storytelling', 'war']"
What separates us from chimpanzees?,Jane Goodall,2002-03-01T00:00:00Z,"['Africa', 'animals', 'culture', 'environment', 'global issues', 'nature', 'primates', 'science']"
How to get your ideas to spread,Seth Godin,2003-02-27T00:00:00Z,"['TED Brain Trust', 'business', 'choice', 'culture', 'marketing', 'storytelling']"
How we discovered DNA,James Watson,2005-02-02T00:00:00Z,"['DNA', 'culture', 'genetics', 'history', 'invention', 'science', 'storytelling', 'technology']"
Visual illusions that show how we (mis)think,Al Seckel,2004-02-26T00:00:00Z,"['brain', 'cognitive science', 'culture', 'design', 'illusion', 'psychology']"
To invent is to give,Dean Kamen,2002-02-02T00:00:00Z,"['business', 'cars', 'industrial design', 'innovation', 'invention', 'robots', 'science', 'social change', 'sustainability', 'technology', 'transportation']"
The life code that will reshape the future,Juan Enriquez,2003-02-02T00:00:00Z,"['DNA', 'TED Brain Trust', 'biotech', 'business', 'culture', 'genetics', 'invention', 'science', 'technology']"
Happiness by design,Stefan Sagmeister,2004-02-02T00:00:00Z,"['TED Brain Trust', 'art', 'design', 'happiness', 'typography']"
The route to a sustainable future,Alex Steffen,2005-07-07T00:00:00Z,"['alternative energy', 'business', 'cities', 'collaboration', 'culture', 'design', 'environment', 'global issues', 'invention', 'sustainability']"
How architecture can connect us,Thom Mayne,2005-02-25T00:00:00Z,"['architecture', 'cities', 'culture', 'design', 'invention']"
Great cars are great art,Chris Bangle,2002-02-02T00:00:00Z,"['art', 'business', 'cars', 'design', 'industrial design', 'invention', 'technology', 'transportation']"
"Singing ""What I Want""",Nora York,2006-12-14T00:00:00Z,"['entertainment', 'live music', 'music', 'performance', 'poetry', 'singer']"
Design is in the details,Paul Bennett,2005-07-14T00:00:00Z,"['business', 'design', 'industrial design', 'product design']"
"Art with wire, sugar, chocolate and string",Vik Muniz,2003-02-27T00:00:00Z,"['Brazil', 'animation', 'art', 'creativity', 'design', 'illusion']"
A philosophical quest for our biggest problems,Nick Bostrom,2005-07-14T00:00:00Z,"['biotech', 'culture', 'future', 'global issues', 'happiness', 'philosophy', 'technology']"
Biomimicry's surprising lessons from nature's engineers,Janine Benyus,2005-02-24T00:00:00Z,"['DNA', 'animals', 'biology', 'biomimicry', 'design', 'environment', 'evolution', 'fish', 'science', 'technology']"
Sampling the ocean's DNA,Craig Venter,2005-02-24T00:00:00Z,"['DNA', 'biodiversity', 'biology', 'biotech', 'ecology', 'entrepreneur', 'genetics', 'invention', 'oceans', 'science', 'technology']"
Software (as) art,Golan Levin,2004-02-27T00:00:00Z,"['art', 'entertainment', 'invention', 'music', 'performance', 'software', 'technology']"
The gentle genius of bonobos,Susan Savage-Rumbaugh,2004-02-02T00:00:00Z,"['animals', 'apes', 'biology', 'culture', 'evolution', 'genetics', 'intelligence', 'language']"
The story of life in photographs,Frans Lanting,2005-02-02T00:00:00Z,"['animals', 'art', 'design', 'evolution', 'fish', 'nature', 'photography', 'storytelling']"
The shrimp with a kick!,Sheila Patek,2004-02-25T00:00:00Z,"['biology', 'biomechanics', 'oceans', 'online video', 'science', 'technology']"
"Global warming's theme song, ""Manhattan in January""",Jill Sobule,2006-02-26T00:00:00Z,"['climate change', 'environment', 'guitar', 'music', 'performance', 'vocals']"
Casting a spell on the cello,Caroline Lavelle,2005-02-02T00:00:00Z,"['cello', 'entertainment', 'music', 'performance', 'vocals']"
